Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
11,202304110,boxscore,MIN,CHW,W-wo,4,3,10,7-4,1,up 0.5,Jax,Scholtens,,2:23,N,"16,153",1.15,+,,True,155,2023
10,202304110,boxscore,CHC,SEA,W,14,9,,6-4,3, 1.5,Rucker,Flexen,,3:02,N,"30,081",.96,++,,True,156,2023
12,202304110,boxscore,CLE,NYY,L,2,11,,7-5,2, 0.5,Cole,Gaddis,,2:24,N,"20,164",1.12,-,,True,157,2023
12,202304110,boxscore,ATL,CIN,W,7,6,,8-4,1,up 2.0,Tonkin,Cessa,Anderson,2:44,N,"33,559",1.12,++,,True,158,2023
11,202304110,boxscore,PHI,MIA,L,4,8,,4-7,4, 3.5,Luzardo,Nola,,2:57,N,"43,444",.91,-,,True,159,2023
11,202304110,boxscore,LAA,WSN,W,2,0,,6-5,2, 1.0,Ohtani,Gray,Estévez,2:26,N,"27,390",.94,+,,True,160,2023
11,202304110,boxscore,TOR,DET,W,9,3,,7-4,2, 4.0,Pop,Manning,,2:29,N,"42,053",1.00,++,,True,161,2023
11,202304110,boxscore,BAL,OAK,W,12,8,,6-5,4, 5.0,Baker,Moll,,3:08,N,"12,305",.89,++,,True,162,2023
12,202304110,boxscore,NYM,SDP,L,2,4,,6-6,2, 2.0,Weathers,Peterson,Hader,2:51,N,"30,769",1.04,-,,True,163,2023
11,202304110,boxscore,SFG,LAD,W,5,0,,5-6,4, 1.5,Alexander,May,,2:38,N,"30,768",.88,+,,True,164,2023
12,202304110,boxscore,COL,STL,L,6,9,,5-7,5, 2.0,Gallegos,Johnson,Helsley,2:37,N,"25,399",.87,-,,True,165,2023
12,202304110,boxscore,ARI,MIL,L,1,7,,7-5,1, Tied,Burnes,Kelly,,2:19,N,"17,069",1.08,-,,True,166,2023
11,202304110,boxscore,TEX,KCR,W-wo,8,5,10,7-4,1,up 1.0,Ragans,Barlow,,2:51,N,"17,760",1.05,+++,,True,167,2023
11,202304110,boxscore,PIT,HOU,W-wo,7,4,,7-4,2, 1.0,Bednar,Pressly,,2:30,N,"9,996",.98,+,,True,168,2023
11,202304110,boxscore,TBR,BOS,W,7,2,,11-0,1,up 4.0,McClanahan,Whitlock,,2:35,N,"12,649",1.28,+++++++++++,,True,169,2023
12,202304120,boxscore,TBR,BOS,W,9,7,,12-0,1,up 4.0,Bradley,Sale,Fairbanks,2:44,N,"17,136",1.20,++++++++++++,,True,170,2023
12,202304120,boxscore,MIN,CHW,W,3,1,,8-4,1,up 1.5,Gray,Giolito,Duran,2:37,D,"17,658",1.18,++,,True,171,2023
12,202304120,boxscore,PHI,MIA,L,2,3,10,4-8,4, 4.5,Puk,Soto,,2:40,D,"29,584",.87,--,,True,172,2023
12,202304120,boxscore,SFG,LAD,L,5,10,,5-7,4, 2.5,Kershaw,Rogers,,3:10,N,"34,903",.97,-,,True,173,2023
13,202304120,boxscore,COL,STL,L,4,7,,5-8,5, 3.0,Pallante,Lawrence,Helsley,2:34,D,"22,250",.86,--,,True,174,2023
13,202304120,boxscore,ARI,MIL,W,7,3,,8-5,1,up 1.0,Nelson,Junk,,2:40,D,"13,136",1.05,+,,True,175,2023
13,202304120,boxscore,ATL,CIN,W,5,4,,9-4,1,up 2.0,Yates,Farmer,Minter,2:32,N,"30,648",1.12,+++,,True,176,2023
12,202304120,boxscore,TEX,KCR,L,1,10,,7-5,1, Tied,Keller,Eovaldi,,2:24,N,"18,380",1.07,-,,True,177,2023
12,202304120,boxscore,PIT,HOU,L,0,7,,7-5,2, 1.0,Urquidy,Hill,,2:51,D,"10,064",.99,-,,True,178,2023
12,202304120,boxscore,LAA,WSN,W,3,2,,7-5,1, Tied,Moore,Thompson,Quijada,2:22,D,"17,780",1.00,++,,True,179,2023
12,202304120,boxscore,TOR,DET,W-wo,4,3,10,8-4,2, 4.0,Romano,Shreve,,2:40,N,"35,300",.99,+++,,True,180,2023
